protien	auto	count
HIF1A	auto_regulate	84
E2F1	auto_regulate	59
RUNX1	auto_regulate	67
MYC	auto_regulate	122
SMAD4	no_feedback	89
RB1	no_feedback	45
IRF2	auto_regulate	31
PPARG	auto_regulate	11
PHF8	auto_regulate	54
SSRP1	no_feedback	29
DDX5	no_feedback	22
NCOR2	auto_regulate	64
STAT3	auto_regulate	80
GATA6	no_feedback	207
BACH1	auto_regulate	142
NCOA3	auto_regulate	114
HEXIM1	no_feedback	22
FOXJ2	no_feedback	58
FOXK2	auto_regulate	84
KLF3	no_feedback	41
SMAD5	auto_regulate	83
HBP1	auto_regulate	69
SP4	auto_regulate	42
ZBTB33	no_feedback	84
NSD2	auto_regulate	46
E2F5	no_feedback	26
CREB1	auto_regulate	107
REST	auto_regulate	100
KDM6B	auto_regulate	131
HMBOX1	auto_regulate	81
ETV1	auto_regulate	3
EPAS1	no_feedback	7
TP53	auto_regulate	130
ZBTB7A	auto_regulate	154
TCF4	no_feedback	15
NR2C2	auto_regulate	68
MXI1	auto_regulate	44
EZH1	auto_regulate	15
CLOCK	no_feedback	67
MLLT1	auto_regulate	167
KLF6	auto_regulate	62
MDM2	no_feedback	203
ELK4	no_feedback	102
PKNOX1	auto_regulate	66
NR2F6	auto_regulate	105
FOXK1	auto_regulate	259
TBL1XR1	auto_regulate	107
KMT2B	no_feedback	48
TCF7L2	auto_regulate	76
CBX1	auto_regulate	35
RUNX3	auto_regulate	65
SPIB	auto_regulate	93
GATAD1	no_feedback	94
ESR2	no_feedback	61
ZBED1	no_feedback	51
NR3C1	auto_regulate	100
SP2	no_feedback	80
BRCA1	auto_regulate	26
NFKB1	auto_regulate	17
MTA2	auto_regulate	13
STAT1	auto_regulate	19
TRIM22	auto_regulate	3
SMAD2	auto_regulate	77
MBD4	no_feedback	60
BCLAF1	no_feedback	17
SOX2	auto_regulate	19
FOS	auto_regulate	58
NOTCH1	auto_regulate	44
SRF	auto_regulate	92
GTF2B	no_feedback	32
FOXP1	auto_regulate	62
RBBP5	no_feedback	19
MAZ	auto_regulate	122
RAD21	auto_regulate	27
MAFK	no_feedback	113
UBTF	auto_regulate	88
GTF2F1	no_feedback	62
TERF2	auto_regulate	88
NFE2L1	no_feedback	105
MAFF	no_feedback	17
MAFG	no_feedback	52
VDR	auto_regulate	61
STAT5A	no_feedback	34
ESR1	auto_regulate	72
ETS1	auto_regulate	58
HCFC1	auto_regulate	57
HES1	no_feedback	12
HDGF	auto_regulate	214
DAXX	no_feedback	2
ZMYND11	no_feedback	25
CBX2	no_feedback	80
SMARCA4	auto_regulate	10
ILK	no_feedback	33
TLE3	auto_regulate	48
PBX2	no_feedback	30
ARID1A	auto_regulate	102
ZEB2	auto_regulate	30
CDK6	auto_regulate	188
TFAP2A	auto_regulate	62
PRDM1	no_feedback	25
RUNX2	auto_regulate	28
FOXO1	auto_regulate	68
TP63	auto_regulate	12
MEF2C	auto_regulate	19
SP1	auto_regulate	142
NIPBL	no_feedback	20
MEF2A	auto_regulate	8
MEIS1	auto_regulate	26
USP7	no_feedback	7
SUZ12	no_feedback	57
ATRX	no_feedback	12
ADNP	auto_regulate	5
ZNF217	auto_regulate	26
TAF1	auto_regulate	16
ZNF207	no_feedback	125
KLF5	auto_regulate	10
HOXA9	no_feedback	64
KLF9	auto_regulate	23
ATF2	auto_regulate	6
SMC1A	no_feedback	122
BCL6	auto_regulate	13
SATB1	no_feedback	42
CBX4	no_feedback	64
CEBPB	auto_regulate	54
PCGF2	no_feedback	20
BMI1	auto_regulate	71
TGIF2	auto_regulate	36
DNMT3B	no_feedback	14
CBX3	no_feedback	80
ZNF92	no_feedback	2
NONO	no_feedback	71
ARID3A	auto_regulate	51
CEBPG	auto_regulate	37
MAFB	no_feedback	10
JARID2	no_feedback	76
CSNK2A1	no_feedback	113
KAT2B	no_feedback	17
RYBP	no_feedback	53
IRF1	auto_regulate	32
PBX3	auto_regulate	13
ZMIZ1	auto_regulate	46
YY1	auto_regulate	161
ZNF143	auto_regulate	1
EZH2	auto_regulate	44
ZNF384	auto_regulate	40
JUN	no_feedback	38
XBP1	no_feedback	10
SND1	auto_regulate	30
NR4A1	no_feedback	6
UBN1	no_feedback	18
NFKBIA	auto_regulate	10
FOXA1	auto_regulate	32
POU2F2	auto_regulate	49
CDX2	auto_regulate	15
EP300	no_feedback	54
TRRAP	auto_regulate	17
SPI1	auto_regulate	15
ELF3	auto_regulate	19
NKX2-2	auto_regulate	20
E2F7	auto_regulate	45
SNAI2	auto_regulate	38
POU2F1	auto_regulate	150
TAL1	auto_regulate	23
HNF4A	no_feedback	21
ARRB1	auto_regulate	38
KLF13	auto_regulate	109
FOSL1	auto_regulate	88
SOX11	auto_regulate	48
NRF1	no_feedback	78
CDK2	no_feedback	78
BMPR1A	no_feedback	111
NFIC	auto_regulate	266
GRHL2	auto_regulate	11
TSC22D4	no_feedback	9
RELA	no_feedback	41
NR1H2	no_feedback	47
NFYA	no_feedback	37
KLF4	auto_regulate	26
PAX6	no_feedback	24
ASXL1	no_feedback	29
CCNT2	no_feedback	82
RBPJ	auto_regulate	81
MTA1	no_feedback	41
ZNF766	no_feedback	45
TERF1	auto_regulate	52
MBD3	auto_regulate	46
CHD4	no_feedback	66
PYGO2	no_feedback	17
THAP1	no_feedback	89
SOX6	auto_regulate	34
CREM	auto_regulate	18
NRIP1	auto_regulate	42
YAP1	auto_regulate	56
KDM5A	auto_regulate	80
CTCFL	auto_regulate	45
NR2F2	auto_regulate	55
AR	auto_regulate	97
ARNTL	no_feedback	33
RFX1	auto_regulate	28
BRD4	auto_regulate	34
MAX	auto_regulate	42
RNF2	no_feedback	36
BRD2	no_feedback	34
TFAP2C	auto_regulate	23
NFYB	no_feedback	19
MAML3	no_feedback	22
PPARGC1A	no_feedback	30
ZEB1	auto_regulate	43
MYB	auto_regulate	24
NCOA2	auto_regulate	16
TAF3	no_feedback	2
SNAPC1	no_feedback	7
HOXB13	auto_regulate	20
MBD2	auto_regulate	28
CREB3	no_feedback	1
TCF12	auto_regulate	10
ELL2	auto_regulate	54
DEK	auto_regulate	63
TAF2	auto_regulate	9
CTNNB1	no_feedback	48
MYCN	auto_regulate	43
TFAP4	auto_regulate	76
KDM1B	no_feedback	4
ZHX1	no_feedback	10
IRF9	auto_regulate	3
NANOG	no_feedback	28
ZNF644	auto_regulate	60
LEF1	no_feedback	6
SMARCC1	auto_regulate	16
SMARCC2	no_feedback	13
HDAC1	no_feedback	10
GATA4	auto_regulate	5
KDM4A	auto_regulate	6
POU5F1	auto_regulate	12
NCOA1	auto_regulate	17
TCF7	auto_regulate	4
HNF4G	auto_regulate	8
RBP2	no_feedback	2
RAD51	no_feedback	147
TP73	auto_regulate	14
SIRT6	no_feedback	2
ZFP36	auto_regulate	53
TEAD2	no_feedback	3
BCOR	auto_regulate	25
EWSR1	no_feedback	12
JMJD1C	auto_regulate	39
BAHD1	no_feedback	44
TBX21	auto_regulate	1
GATA3	auto_regulate	7
ID3	auto_regulate	32
ZNF589	no_feedback	30
MIER1	auto_regulate	23
MYBL2	no_feedback	45
NFE2L2	auto_regulate	9
AFF4	no_feedback	60
NME2	auto_regulate	26
GATA2	auto_regulate	15
KMT2A	auto_regulate	111
CARM1	no_feedback	57
TARDBP	no_feedback	50
ZNF175	no_feedback	46
ZFX	auto_regulate	53
RARA	auto_regulate	43
RXRA	auto_regulate	28
HOXC11	no_feedback	23
CDK8	auto_regulate	6
SMAD1	no_feedback	15
PTTG1	no_feedback	8
AHR	auto_regulate	71
SFMBT1	no_feedback	3
CTBP1	no_feedback	25
CHD1	auto_regulate	26
RCOR1	auto_regulate	46
IRF4	auto_regulate	25
CDK9	auto_regulate	54
MTA3	auto_regulate	77
ZKSCAN1	auto_regulate	46
TOP1	auto_regulate	8
GLYR1	auto_regulate	32
CTCF	no_feedback	15
GTF3C2	no_feedback	4
CHD8	auto_regulate	15
C17orf49	no_feedback	13
ATF3	auto_regulate	24
ZBTB16	auto_regulate	43
FOSL2	auto_regulate	94
LMO2	auto_regulate	1
BRD1	no_feedback	5
PALB2	no_feedback	1
TRIM28	no_feedback	65
ARNT	auto_regulate	21
BACH2	auto_regulate	54
ELF5	no_feedback	11
HINFP	no_feedback	43
POU4F2	auto_regulate	2
TWIST1	no_feedback	49
ATF4	no_feedback	4
LDB1	no_feedback	58
MNT	auto_regulate	107
SIN3A	auto_regulate	44
DEAF1	no_feedback	7
MITF	auto_regulate	31
RUNX1T1	no_feedback	55
MAF	no_feedback	45
NR1H3	no_feedback	3
SMARCB1	no_feedback	8
SOX9	no_feedback	36
OTX2	no_feedback	2
MEIS2	auto_regulate	4
DPF2	auto_regulate	20
NFATC1	auto_regulate	13
FOXM1	no_feedback	14
HNF1B	no_feedback	4
SMAD3	auto_regulate	28
BRD3	auto_regulate	21
FOXA2	no_feedback	13
PAX8	auto_regulate	10
ZNF584	no_feedback	114
JUNB	no_feedback	28
ZNF318	no_feedback	14
E2F4	no_feedback	33
ZNF274	auto_regulate	21
HOXB7	no_feedback	4
BCL11A	auto_regulate	17
RFX5	no_feedback	4
SMC3	no_feedback	25
MBD1	auto_regulate	32
BHLHE40	auto_regulate	34
GABPA	no_feedback	24
TCF3	auto_regulate	45
SVIL	auto_regulate	4
ZNF83	no_feedback	50
STAG1	auto_regulate	19
EED	auto_regulate	27
NR2F1	no_feedback	2
DIDO1	auto_regulate	19
SIX2	no_feedback	1
PROX1	auto_regulate	33
HDAC6	no_feedback	5
OCA2	no_feedback	12
TEAD4	auto_regulate	3
PGR	auto_regulate	3
EGR1	auto_regulate	8
CEBPA	no_feedback	8
KAT2A	no_feedback	8
ATF7	auto_regulate	2
ZC3H11A	no_feedback	42
EGLN2	auto_regulate	12
TBP	no_feedback	2
ARID2	auto_regulate	34
CBFB	auto_regulate	28
CUX1	auto_regulate	7
FLI1	auto_regulate	3
ESRRA	no_feedback	8
KDM1A	auto_regulate	6
NKX3-1	auto_regulate	5
TRIM24	auto_regulate	26
CHD7	no_feedback	33
SETDB1	no_feedback	23
ERG	auto_regulate	5
HDAC2	no_feedback	6
NFKB2	auto_regulate	4
CTBP2	auto_regulate	18
BCL3	auto_regulate	36
NBN	auto_regulate	3
HHEX	no_feedback	2
ZNF24	auto_regulate	62
SREBF1	auto_regulate	55
SREBF2	no_feedback	36
ZNF592	no_feedback	11
CREBBP	auto_regulate	47
MED1	no_feedback	6
TEAD1	auto_regulate	50
E2F6	no_feedback	81
LHX2	auto_regulate	2
ZNF740	no_feedback	59
PIAS1	auto_regulate	21
ICE2	no_feedback	1
MLLT3	no_feedback	10
RFX2	no_feedback	9
EOMES	auto_regulate	3
CBFA2T2	auto_regulate	30
ASH2L	no_feedback	20
NR5A2	no_feedback	9
SMC4	no_feedback	20
CEBPZ	no_feedback	1
STAT2	auto_regulate	63
USF2	no_feedback	14
HSF1	auto_regulate	2
ZNF639	no_feedback	49
ZC3H8	no_feedback	24
CIITA	auto_regulate	24
NKX2-1	auto_regulate	8
NEUROD1	no_feedback	26
DDX20	no_feedback	8
CRY1	no_feedback	1
MYOD1	auto_regulate	3
ARID1B	no_feedback	26
ASCL1	no_feedback	18
ATF1	auto_regulate	5
SIN3B	auto_regulate	17
SIX5	auto_regulate	34
CDK7	no_feedback	3
PML	auto_regulate	3
STAT5B	no_feedback	25
KDM5B	auto_regulate	28
KDM4C	auto_regulate	3
SOX13	no_feedback	2
JUND	auto_regulate	27
EHF	no_feedback	1
BHLHE22	no_feedback	8
LYL1	auto_regulate	2
GATA1	auto_regulate	1
EBF1	auto_regulate	8
KDM4B	auto_regulate	5
TBL1X	auto_regulate	13
CEBPD	auto_regulate	28
ELK1	auto_regulate	54
BDP1	no_feedback	53
CXXC4	no_feedback	11
WRNIP1	no_feedback	3
CHD2	no_feedback	4
PRKDC	no_feedback	2
HDAC8	auto_regulate	4
CREB3L1	auto_regulate	1
BRF2	no_feedback	1
SIRT3	no_feedback	13
IKZF1	auto_regulate	4
TCF25	no_feedback	3
ETV6	auto_regulate	32
BRF1	no_feedback	2
JMJD6	auto_regulate	3
SAP30	auto_regulate	11
SUPT20H	no_feedback	2
NCOR1	no_feedback	6
TFDP1	no_feedback	51
FANCL	auto_regulate	5
NFRKB	no_feedback	11
FOXP2	auto_regulate	15
MED26	auto_regulate	19
ONECUT1	auto_regulate	15
ELF1	auto_regulate	1
ICE1	no_feedback	1
ETV4	auto_regulate	1
GSPT2	no_feedback	1
RELB	auto_regulate	1
BATF	auto_regulate	1
SNAPC4	no_feedback	3
USF1	no_feedback	4
ZNF165	no_feedback	2
ZNF263	no_feedback	2
T	auto_regulate	1
ELL	no_feedback	29
L3MBTL2	no_feedback	7
RAC3	no_feedback	24
PAX5	auto_regulate	37
ZHX2	auto_regulate	1
ZZZ3	no_feedback	13
HMGN3	no_feedback	15
TAF7	auto_regulate	22
ZBTB11	no_feedback	2
MYNN	no_feedback	2
