gene	num_snps	num_mirs	num_diseases	auto_reg
TP63	19	32	1	auto_regulate
ZNF263	6	1	1	no_feedback
NCOA3	37	48	1	auto_regulate
MYB	9	21	1	auto_regulate
SMC1A	7	20	1	no_feedback
ATF7	14	2	1	auto_regulate
TEAD4	1	1	1	auto_regulate
CBX3	13	8	1	no_feedback
ZNF384	10	4	1	auto_regulate
GTF3C2	4	6	1	no_feedback
PHF8	9	20	1	auto_regulate
TAF7	3	1	1	auto_regulate
SIX5	4	7	1	auto_regulate
SIN3A	12	8	1	auto_regulate
HDAC1	5	1	1	no_feedback
ETS1	20	39	1	auto_regulate
BMPR1A	3	14	1	no_feedback
RBBP5	23	9	1	no_feedback
MAF	58	46	1	no_feedback
ZFX	33	16	1	auto_regulate
TP53	32	12	1	auto_regulate
PBX2	22	1	1	no_feedback
SIN3B	13	8	1	auto_regulate
CBX1	11	19	1	auto_regulate
BCL3	9	5	1	auto_regulate
TCF3	12	17	1	auto_regulate
KDM4A	7	10	1	auto_regulate
AFF4	12	59	1	no_feedback
TFAP4	10	19	1	auto_regulate
EGLN2	3	18	1	auto_regulate
EBF1	17	27	1	auto_regulate
BRD1	4	14	1	no_feedback
FOXP2	11	38	1	auto_regulate
E2F4	6	1	1	no_feedback
NR1H2	18	3	1	no_feedback
BCL6	9	25	1	auto_regulate
NFE2L2	11	4	1	auto_regulate
GATA3	17	9	2	auto_regulate
KDM4B	16	7	1	auto_regulate
UBTF	15	12	1	auto_regulate
BHLHE40	14	23	1	auto_regulate
SMARCC1	14	27	1	auto_regulate
HSF1	2	1	1	auto_regulate
HMGN3	2	5	1	no_feedback
KDM4C	3	1	1	auto_regulate
SMAD1	13	11	1	no_feedback
KDM5A	27	32	1	auto_regulate
BCL11A	13	80	1	auto_regulate
CREB3L1	3	6	1	auto_regulate
CEBPD	1	11	1	auto_regulate
KLF6	55	6	1	auto_regulate
SREBF2	10	1	1	no_feedback
STAT3	17	12	2	auto_regulate
ZEB1	12	13	1	auto_regulate
FANCL	2	1	1	auto_regulate
THAP1	7	5	1	no_feedback
MAX	12	8	1	auto_regulate
BRD4	3	8	1	auto_regulate
CDK8	1	17	1	auto_regulate
CTCF	8	10	1	no_feedback
MXI1	25	4	1	auto_regulate
KDM5B	11	13	1	auto_regulate
NR2F1	2	1	1	no_feedback
SIRT6	2	2	1	no_feedback
MYC	4	1	1	auto_regulate
ZBED1	1	1	1	no_feedback
MYNN	9	9	1	no_feedback
ELF1	8	2	1	auto_regulate
SOX11	48	67	1	auto_regulate
TFAP2C	11	16	1	auto_regulate
SETDB1	5	5	1	no_feedback
E2F6	6	19	1	no_feedback
MBD2	9	16	1	auto_regulate
ERG	12	16	1	auto_regulate
POU5F1	4	1	1	auto_regulate
CTCFL	10	1	1	auto_regulate
HEXIM1	15	11	1	no_feedback
AR	1	12	1	auto_regulate
TCF12	8	24	1	auto_regulate
CBFB	6	18	1	auto_regulate
GATA6	3	19	1	no_feedback
GABPA	22	26	1	no_feedback
TRIM24	5	1	1	auto_regulate
REST	17	1	1	auto_regulate
CDK9	10	4	1	auto_regulate
ESR1	50	39	3	auto_regulate
PGR	66	19	3	auto_regulate
HIF1A	10	12	1	auto_regulate
ASCL1	8	7	1	no_feedback
EP300	34	11	1	no_feedback
ID3	7	4	1	auto_regulate
MED1	10	35	1	no_feedback
SNAI2	1	6	1	auto_regulate
SMARCB1	3	5	1	no_feedback
JARID2	18	55	1	no_feedback
ATF1	4	12	1	auto_regulate
DEK	4	12	1	auto_regulate
CREB1	47	8	1	auto_regulate
HDGF	10	16	1	auto_regulate
MTA3	1	1	1	auto_regulate
FOSL2	8	15	1	auto_regulate
ZKSCAN1	15	24	1	auto_regulate
SP1	32	75	1	auto_regulate
MNT	17	51	1	auto_regulate
TRIM22	12	1	1	auto_regulate
ZBTB7A	15	40	1	auto_regulate
MTA2	5	7	1	auto_regulate
HDAC8	3	1	1	auto_regulate
ZNF143	3	3	1	auto_regulate
HCFC1	8	5	1	auto_regulate
ZNF750	2	1	1	no_feedback
NFE2	5	1	1	auto_regulate
NOTCH1	12	23	1	auto_regulate
MYCN	5	47	1	auto_regulate
KLF4	8	32	1	auto_regulate
GATA4	15	15	1	auto_regulate
JUNB	9	2	1	no_feedback
YY1	5	19	1	auto_regulate
PRKDC	8	1	1	no_feedback
CDK7	3	2	1	no_feedback
TFAP2A	21	23	1	auto_regulate
MAZ	14	4	1	auto_regulate
ZBTB33	11	31	1	no_feedback
CHD2	18	29	1	no_feedback
RCOR1	17	49	1	auto_regulate
SMAD3	31	11	1	auto_regulate
FOXP1	38	66	1	auto_regulate
GFI1B	4	1	1	auto_regulate
RB1	10	23	1	no_feedback
HDAC2	20	3	1	no_feedback
NEUROD1	14	32	1	no_feedback
MAFF	8	2	1	no_feedback
ZMIZ1	24	22	1	auto_regulate
GTF2F1	5	1	1	no_feedback
TBL1XR1	17	51	1	auto_regulate
ZHX1	21	12	1	no_feedback
EED	1	10	1	auto_regulate
VDR	59	5	2	auto_regulate
ZNF175	12	1	1	no_feedback
NONO	14	7	1	no_feedback
KLF9	11	19	1	auto_regulate
NFIC	4	8	1	auto_regulate
SP4	15	14	1	auto_regulate
HBP1	9	23	1	auto_regulate
CTBP1	9	1	1	no_feedback
CUX1	3	11	1	auto_regulate
RNF2	15	27	1	no_feedback
NR2F2	14	31	1	auto_regulate
CREBBP	10	20	1	auto_regulate
TWIST1	5	10	1	no_feedback
MITF	17	27	1	auto_regulate
ELF3	18	4	1	auto_regulate
E2F1	8	25	1	auto_regulate
MTA1	3	8	1	no_feedback
BRD2	18	2	1	no_feedback
MBD3	15	1	1	auto_regulate
ETV1	30	52	1	auto_regulate
NRF1	10	14	1	no_feedback
KLF5	8	11	1	auto_regulate
NIPBL	8	37	1	no_feedback
MED26	10	21	1	auto_regulate
EGR1	9	9	1	auto_regulate
KDM1A	9	1	1	auto_regulate
HNF4G	28	20	1	auto_regulate
PRDM14	1	1	1	auto_regulate
ETV4	2	3	1	auto_regulate
JUND	29	6	1	auto_regulate
CHD1	5	34	1	auto_regulate
TCF7L2	25	2	1	auto_regulate
CREM	9	14	1	auto_regulate
MYOD1	4	1	1	auto_regulate
TBP	3	16	1	no_feedback
FOSL1	3	18	1	auto_regulate
JMJD1C	2	21	1	auto_regulate
DAXX	22	1	1	no_feedback
SAP30	1	1	1	auto_regulate
TAF3	0	0	0	no_feedback
RUNX2	21	26	1	auto_regulate
STAG1	2	4	1	auto_regulate
KDM6B	12	24	1	auto_regulate
EZH2	4	14	1	auto_regulate
PAX5	4	1	1	auto_regulate
POU2F2	10	21	1	auto_regulate
IRF2	16	21	1	auto_regulate
BACH1	47	29	1	auto_regulate
SREBF1	27	1	2	auto_regulate
SMAD5	31	37	1	auto_regulate
ZMYND11	3	37	1	no_feedback
NSD2	0	0	0	auto_regulate
GATA1	2	1	1	auto_regulate
LDB1	5	1	1	no_feedback
RUNX1	19	49	1	auto_regulate
TAL1	24	29	1	auto_regulate
TRIM28	3	1	1	no_feedback
E2F7	11	55	1	auto_regulate
NKX2-2	5	19	1	auto_regulate
NR3C1	75	24	3	auto_regulate
GATA2	28	16	1	auto_regulate
KLF1	2	2	1	auto_regulate
PIAS1	2	2	1	auto_regulate
ARNT	25	19	1	auto_regulate
CHD8	1	1	1	auto_regulate
BHLHE22	2	18	1	no_feedback
FOS	7	14	1	auto_regulate
SRF	14	21	1	auto_regulate
USF1	15	8	4	no_feedback
SPI1	3	1	1	auto_regulate
JUN	13	6	1	no_feedback
NKX2-1	13	4	1	auto_regulate
PKNOX1	37	22	1	auto_regulate
SMARCA4	1	6	1	auto_regulate
MEIS2	9	41	1	auto_regulate
DPF2	10	14	1	auto_regulate
DDX5	13	16	1	no_feedback
SMC3	1	1	1	no_feedback
RAD21	19	17	1	auto_regulate
MLLT1	9	20	1	auto_regulate
TARDBP	7	34	1	no_feedback
AHR	28	10	1	auto_regulate
ATF3	11	5	1	auto_regulate
KLF13	14	57	1	auto_regulate
FOXK2	32	37	1	auto_regulate
NFYA	23	20	1	no_feedback
BCLAF1	21	19	1	no_feedback
ELL2	26	57	1	auto_regulate
IRF4	36	17	3	auto_regulate
FOXO1	20	38	1	auto_regulate
EZH1	10	38	1	auto_regulate
ZHX2	10	14	1	auto_regulate
ADNP	3	8	1	auto_regulate
SP2	4	10	1	no_feedback
FLI1	7	7	1	auto_regulate
STAT1	10	1	1	auto_regulate
ESRRA	5	20	1	no_feedback
RARA	4	9	1	auto_regulate
CCNT2	16	24	1	no_feedback
USF2	15	12	1	no_feedback
MBD1	3	8	1	auto_regulate
RAD51	10	2	1	no_feedback
CTBP2	38	17	1	auto_regulate
TBL1X	18	30	1	auto_regulate
SOX6	21	19	1	auto_regulate
RFX5	5	2	1	no_feedback
NBN	24	1	1	auto_regulate
ATF2	3	5	1	auto_regulate
CEBPB	3	3	1	auto_regulate
BRCA1	175	6	4	auto_regulate
NFYB	10	31	1	no_feedback
TERF1	11	2	1	auto_regulate
ZFP36	11	11	1	auto_regulate
IRF1	33	19	1	auto_regulate
RELA	7	1	1	no_feedback
DNMT3B	11	13	1	no_feedback
TGIF2	14	32	1	auto_regulate
MAFK	18	18	1	no_feedback
TCF7	22	3	1	auto_regulate
SUZ12	6	25	1	no_feedback
TFDP1	15	10	1	no_feedback
HMBOX1	19	5	1	auto_regulate
OCA2	3	1	1	no_feedback
ARID3A	14	24	1	auto_regulate
XBP1	6	1	1	no_feedback
CEBPA	8	20	1	no_feedback
HNF4A	15	10	1	no_feedback
ARID1B	12	12	1	no_feedback
NME2	5	1	1	auto_regulate
PAX8	13	8	1	auto_regulate
MAFG	11	1	1	no_feedback
PML	1	1	1	auto_regulate
NFE2L1	9	16	1	no_feedback
STAT5A	6	1	1	no_feedback
ZNF24	30	5	1	auto_regulate
TEAD1	32	70	1	auto_regulate
CREB3	2	1	1	no_feedback
NFRKB	3	1	1	no_feedback
MIER1	25	27	1	auto_regulate
NR2C2	20	65	1	auto_regulate
DDX20	4	1	1	no_feedback
ZEB2	5	1	1	auto_regulate
NR4A1	6	3	1	no_feedback
IRF9	10	20	1	auto_regulate
ZBTB11	7	23	1	no_feedback
ZNF274	1	5	1	auto_regulate
ZNF639	4	1	1	no_feedback
IKZF1	27	20	1	auto_regulate
ZNF197	3	2	1	no_feedback
PPARG	1	7	1	auto_regulate
STAT2	12	3	1	auto_regulate
ZNF644	3	31	1	auto_regulate
L3MBTL2	7	1	1	no_feedback
E2F5	5	46	1	no_feedback
DIDO1	21	1	1	auto_regulate
RBPJ	1	6	1	auto_regulate
CSNK2A1	7	2	1	no_feedback
POU4F2	13	1	1	auto_regulate
ZBTB16	3	1	1	auto_regulate
SNAPC1	10	10	1	no_feedback
PYGO2	4	17	1	no_feedback
CDK6	61	57	1	auto_regulate
ARNTL	2	5	1	no_feedback
TAF1	2	1	1	auto_regulate
FOXA1	15	4	1	auto_regulate
FOXA2	10	3	1	no_feedback
NANOG	8	1	1	no_feedback
ARID2	11	36	1	auto_regulate
ARID1A	7	10	1	auto_regulate
NFATC1	24	5	1	auto_regulate
SFMBT1	4	8	1	no_feedback
TOP1	10	11	1	auto_regulate
LMO2	7	9	1	auto_regulate
GLYR1	7	22	1	auto_regulate
NCOA2	6	14	1	auto_regulate
NCOR2	12	18	1	auto_regulate
MAFB	10	19	1	no_feedback
PALB2	1	1	1	no_feedback
ELF5	19	1	1	no_feedback
RUNX3	20	34	1	auto_regulate
BATF	2	1	1	auto_regulate
RFX1	10	16	1	auto_regulate
GATAD1	28	1	1	no_feedback
FOXM1	6	3	1	no_feedback
CHD7	5	51	1	no_feedback
RUNX1T1	73	23	1	no_feedback
ASXL1	12	19	1	no_feedback
TBX21	7	3	2	auto_regulate
NELFA	0	0	0	auto_regulate
RELB	2	1	1	auto_regulate
ETV6	71	25	1	auto_regulate
MEF2A	36	11	1	auto_regulate
SNAPC4	2	1	1	no_feedback
SIX2	3	7	1	no_feedback
PDX1	14	1	1	auto_regulate
SPIB	9	1	1	auto_regulate
SOX9	24	13	1	no_feedback
GRHL2	35	37	1	auto_regulate
CBFA2T2	27	18	1	auto_regulate
TERF2	7	1	1	auto_regulate
ARRB1	6	3	1	auto_regulate
NKX3-1	25	1	1	auto_regulate
STAT5B	17	10	1	no_feedback
NRIP1	43	25	1	auto_regulate
PBX3	16	49	1	auto_regulate
TLE3	21	7	1	auto_regulate
RAC3	2	1	1	no_feedback
TCF4	41	48	1	no_feedback
ZNF207	4	9	1	no_feedback
GTF2B	5	6	1	no_feedback
RXRA	81	13	1	auto_regulate
CDX2	3	8	1	auto_regulate
ELK1	8	9	1	auto_regulate
LYL1	1	1	1	auto_regulate
CTNNB1	19	3	1	no_feedback
RFX2	9	5	1	no_feedback
KAT2B	9	30	1	no_feedback
NR2F6	3	4	1	auto_regulate
CXXC4	1	1	1	no_feedback
TAF2	1	1	1	auto_regulate
SUPT20H	0	0	0	no_feedback
SOX2	3	9	1	auto_regulate
ATRX	7	34	1	no_feedback
SOX13	13	17	1	no_feedback
SSRP1	3	1	1	no_feedback
MYBL2	9	9	1	no_feedback
NFKB1	12	1	1	auto_regulate
BCOR	1	5	1	auto_regulate
PAX6	24	12	1	no_feedback
ZC3H11A	20	6	1	no_feedback
CIITA	10	1	1	auto_regulate
ASH2L	1	7	1	no_feedback
NFKB2	1	1	1	auto_regulate
EPAS1	15	18	1	no_feedback
FOXK1	63	15	1	auto_regulate
RBP2	1	1	1	no_feedback
POU2F1	11	1	1	auto_regulate
UCREBBP	0	0	0	no_feedback
PROX1	1	4	1	auto_regulate
TSC22D4	4	6	1	no_feedback
T	10	2	1	auto_regulate
NCOA1	8	49	1	auto_regulate
CBX2	11	29	1	no_feedback
CLOCK	16	56	3	no_feedback
CRY1	3	1	1	no_feedback
ZNF92	7	1	1	no_feedback
TP73	5	1	1	auto_regulate
JMJD6	16	4	1	auto_regulate
TCF25	4	1	1	no_feedback
GSPT2	1	8	1	no_feedback
ZNF766	8	1	1	no_feedback
BRF2	1	11	1	no_feedback
BRD3	42	18	1	auto_regulate
DEAF1	3	1	1	no_feedback
KMT2A	0	0	0	auto_regulate
BACH2	57	76	1	auto_regulate
HOXB13	15	1	1	auto_regulate
HNF1B	10	16	1	no_feedback
SND1	4	4	1	auto_regulate
UBN1	23	22	1	no_feedback
ESR2	1	1	7	no_feedback
ONECUT1	2	6	1	auto_regulate
PCGF2	17	11	1	no_feedback
ZNF740	21	18	1	no_feedback
USP7	11	10	1	no_feedback
ZNF165	1	1	1	no_feedback
CEBPG	17	11	1	auto_regulate
ELK4	4	1	1	no_feedback
SATB1	9	40	1	no_feedback
MEIS1	4	26	1	auto_regulate
ZNF318	8	1	1	no_feedback
ZC3H8	3	1	1	no_feedback
IRF3	1	1	1	no_feedback
CEBPZ	1	1	1	no_feedback
ZNF589	12	1	1	no_feedback
PPARGC1A	26	47	1	no_feedback
NFKBIA	15	2	4	auto_regulate
BMI1	15	17	1	auto_regulate
BDP1	5	8	1	no_feedback
SMARCC2	16	2	1	no_feedback
RYBP	42	39	1	no_feedback
YAP1	10	11	1	auto_regulate
ZNF217	13	39	1	auto_regulate
HDAC6	1	1	1	no_feedback
BRF1	6	1	1	no_feedback
KMT2B	0	0	0	no_feedback
NR5A2	21	20	1	no_feedback
OTX2	6	18	1	no_feedback
LHX2	3	5	1	auto_regulate
SOX10	5	4	1	no_feedback
HOXA9	9	23	1	no_feedback
EOMES	3	13	1	auto_regulate
HINFP	3	2	1	no_feedback
SMAD4	31	50	1	no_feedback
WRNIP1	3	10	1	no_feedback
CBX4	6	27	1	no_feedback
HHEX	1	7	1	no_feedback
ATF4	1	1	1	no_feedback
EHF	23	9	1	no_feedback
MEF2C	19	29	1	auto_regulate
CDK2	10	17	1	no_feedback
MEF2B	1	1	1	no_feedback
ZZZ3	1	19	1	no_feedback
PTTG1	1	1	1	no_feedback
BAHD1	8	65	1	no_feedback
SMAD2	51	61	1	auto_regulate
ZNF584	5	1	1	no_feedback
ZNF83	31	4	1	no_feedback
MAML3	18	14	1	no_feedback
NCOR1	7	1	1	no_feedback
LEF1	4	21	1	no_feedback
CHD4	6	12	1	no_feedback
PRDM1	24	35	1	no_feedback
DUX4	1	1	1	no_feedback
ILK	2	2	1	no_feedback
MBD4	8	2	1	no_feedback
ICE2	0	0	0	no_feedback
HOXB7	5	3	1	no_feedback
HDAC3	4	1	1	no_feedback
SGF29	0	0	0	auto_regulate
HES1	1	11	1	no_feedback
FOXJ2	7	31	1	no_feedback
ICE1	0	0	0	no_feedback
TEAD2	10	1	1	no_feedback
KLF3	24	77	1	no_feedback
CARM1	7	13	1	no_feedback
MLLT3	14	17	1	no_feedback
ELL	16	23	1	no_feedback
ZNF592	21	13	1	no_feedback
NR1H3	5	3	1	no_feedback
THAP11	1	2	1	no_feedback
C17orf49	2	1	1	no_feedback
SIRT3	6	2	1	no_feedback
KAT2A	2	1	1	no_feedback
ZNF335	1	1	1	no_feedback
MDM2	56	1	1	no_feedback
EWSR1	4	2	1	no_feedback
KDM1B	8	16	1	no_feedback
HOXC11	9	22	1	no_feedback
SVIL	16	4	1	auto_regulate
SMC4	7	1	1	no_feedback
TRRAP	7	8	1	auto_regulate
